,business_id,name,price,status_1,status_2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,status
63,R7ESrFkedb5TzxA1rc5Y3w,Ny Bagel Deli and Pizza,1.0,,,,,,,,,,,,5.0
65,k1KHOn_ajwJeq-m4i43RVg,Firehouse Subs,,,,,,,,,,,,,1.0
66,LJfJY1hF9aK_xgGd9ikEoQ,Green Eggs & Ham Cafe,1.0,,,,,,,,,,,,1.0
67,v7EB8Yp1Xa_5vaYt7krUnA,Kingdom Sushi,,1.0,,,,,,,,,,,1.0
68,UFfp0MNHLxJCi1kXhvnTTw,Lisbon Portugese Restaurant,,1.0,,,,,,,,,,,1.0
69,Ao6QTvQxdljaUquX4DB-vg,El Tapatio,,1.0,,,,,,,,,,,1.0
70,ym3RaTDWy6ISsM5yKoJHGQ,Sear + Sea at JW Marriott Bonnet Creek,,,,,,,,,,,,,1.0
71,Zu2_m6OKg-8tj8YM0PUTFg,Kings Point Ice Cream & Burger,,1.0,,,,,,,,,,,1.0
72,DXH3tGl4g5gHtQmWEgIZ5g,Al's Pizza and Wings,1.0,,,,,,,,,,,,1.0
73,UuzwUMENLvDekhcrlVOScA,Equilibre,,,,,,,,,,,,,1.0
74,AwlDbl5VXRPl7vwYq09row,Vino Volo,,,,,,,,,,,,,1.0
75,I9wF5esglJ1mlS-Xlj9BxA,Pizza King,1.0,,,,,,,,,,,,1.0
76,XYHs0GaZfRBLfG3O-vw2xA,Le Ky Patisserie,,,,,,,,,,,,,1.0
77,NgC1fLJUiu3T9BVfH5OmjQ,Tropical Smoothie Cafe,1.0,6.0,,,,,,,,,,,6.0
78,6hPMfIMqXo_gJvy53EPrQQ,McDonald's,1.0,,,,,,,,,,,,6.0
79,hnROQtNv8PmnepNmSe7Uag,Smoke & Donuts,,,,,,,,,,,,,1.0
80,L2x7cvkv5QsmncEpPbMBmA,Tartini Express,1.0,,,,,,,,,,,,5.0
81,0WrgUbLiPhADK1fUKpV18Q,Meiâ€™s Kitchen,2.0,,,,,,,,,,,,1.0
82,hk4qBxGIckyBegXaMBeHUA,Chicken Salad Chick,1.0,,,,,,,,,,,,6.0
83,yLq5VJtR3uNVoOyIRTl8JA,Boba Queen,1.0,,,,,,,,,,,,1.0
85,CRQ8wT95xH3mxjLHCywbPQ,Island Vibez Jamaican Grill,,1.0,,,,,,,,,,,1.0
86,hhKrf5LUOxom2yZ_qGuFLg,Seoul Soon Tofu,,1.0,,,,,,,,,,,1.0
87,k7wXOsFvP-CKGjGYszqWtA,Bread & Co.,,1.0,,,,,,,,,,,1.0
88,KF7bp1kyrndk4X8Dv0u_Mg,The Grande Cove Bar & Grill,1.0,1.0,,,,,,,,,,,1.0
89,bFc5QOpFJ-3GhrEQi0dwsQ,Chirico Fast Food,1.0,,,,,,,,,,,,5.0
90,PjQh1SCiHZTyzh5g_-hywg,Cedars Resturant,,1.0,,,,,,,,,,,1.0
91,ytsgCxL6_6w8BkFB-rzS6A,Russell's on Lake Ivanhoe,,,,,,,,,,,,,1.0
92,HVjoSbmDUFEcPA_h1OnYYA,Pancho's,,1.0,,,,,,,,,,,1.0
93,x-zntyVfHFictYwjH1NRCg,Chili's,2.0,,,,,,,,,,,,6.0
94,dhcAYQo7d2yQojQtdATFFw,"Vitale, Spa Cafe",,1.0,,,,,,,,,,,1.0
95,6ImETxguVguwAJ-id7440w,PokÃ©Stop,,,,,,,,,,,,,1.0
