,Name,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
80,Orlando Executive Airport,28.540880000000072,-81.31924999999995,1,Toll Booth,Arts & Entertainment,Park,Optical Shop,Performing Arts Venue,Pawn Shop,Paper / Office Supplies Store,Outdoor Sculpture,ATM,Pet Service
81,Orlando International Airport,28.42721000000006,-81.30802999999997,2,Airport Service,Rental Car Location,Airport Terminal,Bus Station,Gift Shop,Accessories Store,Fast Food Restaurant,Airport,Bus Stop,Snack Place
82,Orwin Manor,28.579800000000034,-81.36437999999998,1,Cocktail Bar,Theater,ATM,Optical Shop,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,Office
83,Palomar,28.586100000000044,-81.39958999999999,0,Boat Rental,ATM,Moving Target,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office,Optical Shop
84,Park Central,28.49144000000007,-81.41295999999994,0,Wings Joint,Sandwich Place,Gym / Fitness Center,Chinese Restaurant,Bank,Grocery Store,Convenience Store,American Restaurant,Sushi Restaurant,Pizza Place
85,Park Lake/Highland,28.557690000000036,-81.36857999999995,1,Taco Place,Asian Restaurant,Breakfast Spot,Tattoo Parlor,Gift Shop,Speakeasy,Grocery Store,Gym / Fitness Center,Food Truck,Cajun / Creole Restaurant
86,Pershing,28.498910050140182,-81.28736000134322,2,Video Store,Convenience Store,Pizza Place,Veterans' Organization,Office,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop
87,Pineloch,28.509465316355268,-81.3613222157677,1,Convenience Store,Gas Station,Burger Joint,Eye Doctor,Lake,American Restaurant,ATM,Paper / Office Supplies Store,Performing Arts Venue,Pawn Shop
88,Princeton/Silver Star,28.570290000000057,-81.40543999999994,0,ATM,Thrift / Vintage Store,Hardware Store,Food,Event Service,Lawyer,Food Truck,Convenience Store,Intersection,Adult Boutique
89,Randal Park,28.440625011526073,-81.23693934401386,2,Playground,ATM,Pet Service,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
90,Richmond Estates,28.513090000000034,-81.43221999999997,0,Food,BBQ Joint,ATM,Pet Service,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
91,Richmond Heights,28.52078000000006,-81.43406999999996,0,Home Service,Park,ATM,Performing Arts Venue,Pawn Shop,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Office,Pet Store
92,Rio Grande Park,28.51263000000006,-81.40616999999997,0,Home Service,Convenience Store,Print Shop,Caribbean Restaurant,ATM,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture
93,Rock Lake,28.549270000000035,-81.40283999999997,0,Szechuan Restaurant,American Restaurant,Food,Men's Store,Pizza Place,Park,Hotel Bar,Hotel,Bed & Breakfast,Financial or Legal Service
94,Roosevelt Park,28.577335678167618,-81.40703086813166,0,Café,Convenience Store,Waterfront,Flower Shop,Food,Paper / Office Supplies Store,Pet Service,Performing Arts Venue,Pawn Shop,Park
95,Rose Isle,28.57466000000005,-81.36056999999994,1,Park,Lake,Bar,Theater,ATM,Pawn Shop,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Pet Service
96,Rosemont,28.59776000000005,-81.43670999999995,0,Intersection,Lake,Pool,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Pet Store
97,Rosemont North,28.60489000000007,-81.44511999999997,0,,,,,,,,,,
