,ValueCount,location
150,1,"(28.476512685, -81.456837822)"
151,1,"(28.51388728, -81.45909926)"
152,1,"(28.425898012, -81.254346099)"
153,1,"(28.48291268, -81.456281995)"
154,1,"(28.515235774, -81.376355398)"
155,1,"(28.425185611, -81.353788162)"
156,1,"(28.5158717750001, -81.3103527329999)"
157,1,"(28.553362887, -81.325057601)"
158,1,"(28.552369692, -81.347918282)"
159,1,"(28.544079493, -81.379075088)"
160,1,"(28.578868133, -81.389564577)"
161,1,"(28.4619392920001, -81.465751058)"
162,1,"(28.54017371, -81.38441453)"
163,1,"(28.542375166, -81.379050104)"
164,1,"(28.568378086, -81.326214965)"
165,1,"(28.540326835, -81.379892985)"
166,1,"(28.4603521610001, -81.4586561149999)"
167,1,"(28.547028114, -81.417590211)"
168,1,"(28.612691762, -81.433352881)"
169,1,"(28.5413039310001, -81.378526822)"
170,1,"(28.3911589910001, -81.244250856)"
171,1,"(28.553433776, -81.328744513)"
172,1,"(28.555732254, -81.364446294)"
173,1,"(28.608203338, -81.425059615)"
174,1,"(28.54847633, -81.379141783)"
175,1,"(28.514792744, -81.459103101)"
176,1,"(28.51340796, -81.3284398)"
177,1,"(28.539194497, -81.391121671)"
178,1,"(28.49273144, -81.41480861)"
179,1,"(28.525308831, -81.343414913)"
180,1,"(28.5338248620001, -81.3971630949999)"
181,1,"(28.473260645, -81.310091816)"
182,1,"(28.51329769, -81.35985375)"
183,1,"(28.462379734, -81.457463994)"
184,1,"(28.554610665, -81.376910089)"
185,1,"(28.49142127, -81.42823972)"
186,1,"(28.546614333, -81.379111753)"
187,1,"(28.52416477, -81.42158588)"
188,1,"(28.524234798, -81.335508256)"
189,1,"(28.52422799, -81.47111424)"
190,1,"(28.55317076, -81.36496969)"
191,1,"(28.546619677, -81.379114862)"
192,1,"(28.46928533, -81.2683915)"
193,1,"(28.482906759, -81.45795406)"
194,1,"(28.542634273, -81.378691703)"
195,1,"(28.542101868, -81.379863299)"
196,1,"(28.590127319, -81.428356589)"
197,1,"(28.519781192, -81.376375909)"
198,1,"(28.522770719, -81.308285022)"
199,1,"(28.54130393, -81.37852682)"
